unit,sub_unit,uc_id,use_case_name,x_innovation,y_innovation,maturity_stages,effort,use_case_family,impact,build_complexity,no_data_sources,calc_complexity
Asset management,Regulation,48,Task Force on Climate Related Financial Disclosures (TCFD) ,17,7,medium,13,Investment Products & ESG Reporting,15,15,,15
Asset management,Regulation,49,General Data Protection Regulation (GDPR) ,19,3,complex,20,Operational Resilience,12,30,,30
Retail,Consumer-Experiences,50,Data Warehouse modernization,1,1,complex,10,Infrastructure,4,30,,30
Retail,Consumer-Experiences,51,Customer Segmentation,1,7,simple,3,Customer Acquisition,12,5,,5
Retail,Consumer-Experiences,52,Customer Targeting,2,12,simple,5,Customer Acquisition,14,5,,5
Retail,Consumer-Experiences,53,Churn Prediction,2,15,medium,7,Customer Acquisition,16,15,,15
Retail,Consumer-Experiences,54,Personalized Digital Experiences,7,16,complex,12,Customer Acquisition,14,30,,30
Retail,Consumer-Experiences,55,KYC Screening,4,6,medium,9,Customer Onboarding & Screening,8,15,,15
Retail,Consumer-Experiences,56,AML Screening,5,8,complex,16,Customer Onboarding & Screening,11,30,,30
Retail,Consumer-Experiences,57,Fraud Detection,9,12,complex,12,Customer Onboarding & Screening,10,30,,30
Retail,Consumer-Experiences,58,Enhanced Due Diligence,13,14,complex,14,Customer Onboarding & Screening,16,30,,30
Retail,Consumer-Experiences,59,Product Suitability,3,2,simple,4,Next Best Action,9,5,,5
Retail,Consumer-Experiences,60,Personalized Financial Planning,11,7,complex,13,Next Best Action,18,30,,30
Retail,Consumer-Experiences,61,Tailored Portfolio Construction,17,9,medium,9,Next Best Action,12,15,,15
Retail,Consumer-Experiences,62,Portfolio Risk Management,8,5,medium,4,Next Best Action,18,15,,15
Retail,Consumer-Experiences,63,Investor Preference-based Financial Planning,12,3,complex,13,Customer Engagement,9,30,,30
Retail,Consumer-Experiences,64,Portfolio Construction,5,1,simple,6,Customer Engagement,11,5,,5
Retail,Consumer-Experiences,65,Personalization,14,2,medium,10,Customer Engagement,18,15,,15
Retail,Consumer-Experiences,66,Differentiated Digital Experience,17,4,complex,16,Customer Engagement,14,30,,30
